time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1689984000,30000.3,29635.44,29911.46,6111.68,182484169.27,29791.61,direct,""
1690070400,30345.9,29738.58,29791.61,8140.53,244328645.64,30085.68,direct,""
1690156800,30097.78,28860.94,30085.68,25436.68,744538575.95,29181.04,direct,""
1690243200,29367.59,29054.49,29181.04,12141.51,354541899.17,29226.63,direct,""
1690329600,29682.98,29098.81,29226.63,16583.36,486510821.91,29352.06,direct,""
1690416000,29566.99,29082.04,29352.06,12727.55,373268935.18,29217.05,direct,""
1690502400,29528.45,29121.24,29217.05,11707.43,342975082.63,29316.82,direct,""
1690588800,29406.57,29258.14,29316.82,4989.17,146316009.97,29358.76,direct,""
1690675200,29449.84,29043.43,29358.76,7661.41,224246250.77,29283.34,direct,""
1690761600,29524.99,29108.82,29283.34,14553.25,426457343.16,29231.47,direct,""
1690848000,29721.48,28564.09,29231.47,28319.33,822433494.24,29699.74,direct,""
1690934400,30029.06,28914.46,29699.74,28507.89,838251477.68,29163.69,direct,""
1691020800,29397.03,28945.61,29163.69,15427.08,450334651.17,29177.75,direct,""
1691107200,29308.95,28794.51,29177.75,12900.38,375805085.38,29078.51,direct,""
1691193600,29111.36,28953.98,29078.51,4135,120051247.27,29050.34,direct,""
1691280000,29164.68,28962.89,29050.34,4361.16,126689336.09,29046.16,direct,""
1691366400,29245.27,28672.37,29046.16,16388.65,475156597.17,29182.16,direct,""
1691452800,30210.36,29111.88,29182.16,26561.94,786792606.34,29770.51,direct,""
1691539200,30120.86,29356.43,29770.51,17933.09,532770863.32,29566.47,direct,""
1691625600,29707.55,29319.58,29566.47,12722.06,375142806.93,29428.1,direct,""
1691712000,29535.4,29219.56,29428.1,10550.47,310027638.11,29403.56,direct,""
1691798400,29471.12,29356.08,29403.56,3495.96,102819295.5,29417.08,direct,""
1691884800,29447.27,29257.12,29417.08,3928.8,115373186.78,29281.55,direct,""
1691971200,29664.61,29082.39,29281.55,12333.02,362522208.47,29409.22,direct,""
1692057600,29460.86,29056.77,29409.22,10214.85,299026558.28,29171.23,direct,""
1692144000,29228.22,28696.21,29171.23,16506.96,479152538.98,28702.8,direct,""
1692230400,28752.02,25328.06,28702.8,50603.71,1394530695.43,26629.67,direct,""
1692316800,26823.13,25629.62,26629.67,33853.32,888090076.41,26049.69,direct,""
1692403200,26266.25,25797.39,26049.69,10190.62,265159375.46,26095.8,direct,""
1692489600,26291.33,25983.85,26095.8,7358.66,192271431.08,26191.01,direct,""
1692576000,26248.2,25819.92,26191.01,16512.71,430024076.12,26126.18,direct,""
1692662400,26137.6,25369.8,26126.18,19880.36,514473682.56,26043.01,direct,""
1692748800,26807.82,25802.48,26043.01,25584.15,672652092.31,26429.4,direct,""
1692835200,26565.88,25859.32,26429.4,17135.14,449180401.68,26166.22,direct,""
1692921600,26291.13,25759.58,26166.22,18808.91,489263026.85,26051.29,direct,""
1693008000,26109.19,25979.58,26051.29,3572.84,93024725.64,26010.35,direct,""
1693094400,26168.79,25966.75,26010.35,4137.97,107924452.3,26091.32,direct,""
1693180800,26233.53,25861.84,26091.32,11633.38,302943657.3,26106,direct,""
1693267200,28154.08,25911.89,26106,39870.36,1089036684.85,27724.41,direct,""
1693353600,27766.41,27036.49,27724.41,19031.6,520197058,27305.41,direct,""
1693440000,27563.68,25683.18,27305.41,27850.06,741278108.53,25937.29,direct,""
1693526400,26137.14,25323.44,25937.29,24807.18,639696809.37,25798.79,direct,""
1693612800,25980.31,25729.66,25798.79,7017.96,181289556.36,25868.56,direct,""
1693699200,26115.72,25805.82,25868.56,6190.05,160541183.85,25971.37,direct,""
1693785600,26089.36,25636.28,25971.37,8832.41,228454428.06,25816.24,direct,""
