time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1687046400,1747.15,1714.24,1727.25,61009.73,105602986.61,1720.51,direct,""
1687132800,1750.51,1702.53,1720.51,110080.68,189833856.65,1736.79,direct,""
1687219200,1796.2,1714.37,1736.79,204826.38,360202462.41,1792.7,direct,""
1687305600,1901.09,1787.65,1792.7,329097.67,608041064.43,1889.61,direct,""
1687392000,1932.43,1867.05,1889.61,226530.23,430137565.01,1872.42,direct,""
1687478400,1935.61,1862.87,1872.42,191917.53,364062998.23,1893.52,direct,""
1687564800,1906.41,1865.87,1893.52,85491.92,161217137.17,1875.91,direct,""
1687651200,1930.13,1870,1875.91,128153.56,243821770.45,1899.41,direct,""
1687737600,1908.51,1837.8,1899.41,153770.53,287969485.35,1859.19,direct,""
1687824000,1912.27,1855.91,1859.19,151848.79,286149889.21,1889.8,direct,""
1687910400,1890.36,1816.8,1889.8,161271.89,298601057.72,1827.54,direct,""
1687996800,1879.3,1826.86,1827.54,113949.24,211210015.81,1852.08,direct,""
1688083200,1946.35,1824.32,1852.08,331170.67,626117328.74,1933.62,direct,""
1688169600,1943.98,1909.02,1933.62,88636.77,170397820.6,1924.32,direct,""
1688256000,1959.65,1886.23,1924.32,134924.17,259524177.47,1937.46,direct,""
1688342400,1976.4,1933.97,1937.46,170212.81,333458002.68,1955.81,direct,""
1688428800,1966.58,1931.77,1955.81,93710.12,182921227.93,1936.37,direct,""
1688515200,1942.52,1894.61,1936.37,117766.45,225539498.22,1910.36,direct,""
1688601600,1957.31,1846.2,1910.36,196764.23,373111691.55,1846.23,direct,""
1688688000,1877.83,1826.76,1846.23,127506.43,236998422.03,1870.78,direct,""
1688774400,1872.81,1842.91,1870.78,66902.55,124473027.23,1865.62,direct,""
1688860800,1878.95,1857.05,1865.62,56099.99,104769250.13,1863.09,direct,""
1688947200,1905.56,1847.56,1863.09,132506.75,248076590.36,1880.69,direct,""
1689033600,1890.88,1862.62,1880.69,93167.51,174708055.4,1878.62,direct,""
1689120000,1902.85,1864.64,1878.62,143566.5,270619306.85,1871.83,direct,""
1689206400,2013.71,1863.04,1871.83,336483.02,656466648.57,2005.75,direct,""
1689292800,2028.23,1899.87,2005.75,267412.05,527215689.43,1939.13,direct,""
1689379200,1947.02,1927.45,1939.13,63946.44,123753926.65,1931.84,direct,""
1689465600,1943.9,1915.46,1931.84,60489.53,116791257.98,1923.31,direct,""
1689552000,1936.44,1873.95,1923.31,179625.29,342329027.22,1911.56,direct,""
1689638400,1917.42,1876.56,1911.56,170066.54,322922232.52,1897.76,direct,""
1689724800,1921.35,1882.24,1897.76,146906.13,279760726.89,1888.8,direct,""
1689811200,1928.8,1878.34,1888.8,151206.84,287230417.85,1891.77,direct,""
1689897600,1905.23,1884.8,1891.77,82591.95,156384021.65,1891.92,direct,""
1689984000,1897.37,1853.5,1891.92,62595.74,117565051.78,1866.58,direct,""
1690070400,1905.05,1858.59,1866.58,88294.64,165984164.63,1888.72,direct,""
1690156800,1890.69,1833.52,1888.72,187790.43,347928550.49,1849.87,direct,""
1690243200,1867.76,1845.54,1849.87,88214.29,163792722.05,1857.51,direct,""
1690329600,1887.19,1848.5,1857.51,116692.35,217544577.61,1871.94,direct,""
1690416000,1885.88,1854.75,1871.94,92489.79,172986040.03,1860.95,direct,""
1690502400,1882.21,1856.42,1860.95,84360.48,157806868.85,1874.32,direct,""
1690588800,1886.25,1869.84,1874.32,35930.88,67420133,1880.9,direct,""
1690675200,1885.32,1849.68,1880.9,71017.31,132571482.86,1861.71,direct,""
1690761600,1876.63,1850.86,1861.71,108149.1,201325420.68,1856.01,direct,""
1690848000,1874.67,1812.77,1856.01,219807.87,404099981.78,1872.96,direct,""
1690934400,1878.64,1820.43,1872.96,152558.88,281934846.64,1839.07,direct,""
1691020800,1857.31,1824.39,1839.07,113475.48,208780805.48,1834.44,direct,""
1691107200,1849.34,1815.23,1834.44,118591.31,217682208.64,1827.52,direct,""
1691193600,1837.2,1824.73,1827.52,40010.61,73250862.43,1834.9,direct,""
1691280000,1836.84,1824.48,1834.9,42056.49,76980593.22,1827.81,direct,""
1691366400,1844.14,1800.61,1827.81,138712.48,252903494.71,1827.07,direct,""
1691452800,1875.47,1824.41,1827.07,153819.57,284363251.37,1855.78,direct,""
1691539200,1870.77,1844.53,1855.78,108839.38,201917130.17,1854.14,direct,""
1691625600,1864.25,1844.49,1854.14,72694.36,134629659.34,1850.51,direct,""
1691712000,1855.2,1837.1,1850.51,74423.11,137388777.18,1847.01,direct,""
1691798400,1852.66,1845.37,1847.01,35133.53,64959465.73,1849.08,direct,""
1691884800,1860.01,1833.39,1849.08,44017.87,81329475.04,1839.07,direct,""
1691971200,1854.17,1833.55,1839.07,80532.62,148596306.79,1844.02,direct,""
1692057600,1845.58,1811.79,1844.02,75434.51,138258892.85,1827.21,direct,""
1692144000,1829.42,1796.32,1827.21,116390.89,211465905.78,1805.68,direct,""
1692230400,1808.11,1538.26,1805.68,342502.46,586328524.5,1681.74,direct,""
1692316800,1699,1641.05,1681.74,244267.04,408868800,1661.34,direct,""
1692403200,1695.56,1653.99,1661.34,85392.14,142631159.81,1669.67,direct,""
1692489600,1694.11,1662.16,1669.67,77051.98,129059232.43,1685.38,direct,""
1692576000,1687.62,1649.81,1685.38,133144.55,222346407.69,1667.37,direct,""
1692662400,1669.14,1582.66,1667.37,187472.16,306952239.8,1634.23,direct,""
1692748800,1700.22,1629.05,1634.23,197778.05,328759845.74,1679.23,direct,""
1692835200,1682.97,1635.8,1679.23,136664.44,226405478.01,1660.46,direct,""
1692921600,1675.75,1634.84,1660.46,152712.57,252242786.57,1652.94,direct,""
1693008000,1654.84,1643.21,1652.94,33734.15,55624499.94,1646.3,direct,""
1693094400,1659.41,1645.5,1646.3,41210.49,68111939.3,1657.6,direct,""
1693180800,1662.45,1622.25,1657.6,106796.31,175729854.06,1652.22,direct,""
1693267200,1745.27,1639.27,1652.22,216413.42,368669910.11,1729.38,direct,""
1693353600,1730.8,1696.18,1729.38,112822.42,193154994.53,1705.51,direct,""
1693440000,1725,1630.36,1705.51,180257.29,302646661.02,1645.67,direct,""
1693526400,1654.21,1602.15,1645.67,140655.9,229505773.05,1628.51,direct,""
1693612800,1644.58,1627.58,1628.51,44394.41,72557044.83,1636.88,direct,""
1693699200,1646.49,1625.26,1636.88,51338.16,83967516.22,1635.72,direct,""
1693785600,1644.24,1616.39,1635.72,65027.05,106014643.86,1629.77,direct,""
1693872000,1646.6,1609.17,1629.77,95396,155443741.05,1633.83,direct,""
1693958400,1667.18,1609.76,1633.83,115555.19,188596252.64,1632.35,direct,""
1694044800,1658.54,1622.78,1632.35,108972.21,178418926.08,1647.63,direct,""
1694131200,1658.02,1616.13,1647.63,113530.21,185655920.66,1636.13,direct,""
1694217600,1637.06,1629.53,1636.13,29811.67,48715977.58,1635.27,direct,""
1694304000,1635.6,1598.26,1635.27,87612.55,141811583.08,1616.78,direct,""
1694390400,1618.59,1531.41,1616.78,222853.36,350478203.43,1551.53,direct,""
1694476800,1624.44,1549.46,1551.53,182681.33,290923261.09,1593.09,direct,""
1694563200,1618.1,1581.83,1593.09,146553.33,234456204.57,1607.97,direct,""
1694649600,1643.67,1607.51,1607.97,176132.72,286524359.38,1627.01,direct,""
1694736000,1653.05,1611.89,1627.01,107443.76,174858821.85,1641.48,direct,""
1694822400,1652,1631.94,1641.48,51027.56,83641957.75,1634.86,direct,""
1694908800,1635.55,1612.65,1634.86,52875.06,85972165.39,1622.81,direct,""
1694995200,1669.3,1606.15,1622.81,154872.45,254499442.83,1637.19,direct,""
1695081600,1660.5,1627.21,1637.19,112415.8,184891179.92,1643.58,direct,""
1695168000,1649.54,1605.7,1643.58,148630.68,242158870.38,1622.39,direct,""
1695254400,1625.21,1568.44,1622.39,150102.38,239767218.36,1584.04,direct,""
1695340800,1602.27,1577.13,1584.04,102642.72,163522895.05,1593.13,direct,""
1695427200,1598.18,1588.07,1593.13,37820.27,60256774.05,1593.91,direct,""
1695513600,1600.73,1570.95,1593.91,64815.76,103003077.92,1580.76,direct,""
1695600000,1596.93,1563.59,1580.76,129190.89,204351095.27,1588.04,direct,""
1695686400,1598.33,1579.84,1588.04,106488.35,169116251.08,1593.27,direct,""
1695772800,1632.85,1582.93,1593.27,165773.31,266115436.32,1597.73,direct,""
1695859200,1667.83,1597.1,1597.73,254866.68,417307877.44,1652.9,direct,""
1695945600,1688.1,1648.4,1652.9,208708.07,348158317.18,1667.44,direct,""
1696032000,1693.97,1666.36,1667.44,100605.59,168691450.13,1670.97,direct,""
1696118400,1756.57,1668.69,1670.97,153318.81,260450967.05,1733.44,direct,""
1696204800,1743.65,1638.79,1733.44,321968.06,547118665.83,1662.8,direct,""
1696291200,1670.57,1643.9,1662.8,193423.11,320387316.67,1656.96,direct,""
1696377600,1657.76,1625.61,1656.96,157246.2,258093521.67,1646.79,direct,""
1696464000,1654.85,1608.96,1646.79,166310.68,270654077.48,1611.72,direct,""
1696550400,1661.26,1611.72,1611.72,154920.65,253531816.85,1645.93,direct,""
1696636800,1648.54,1631.04,1645.93,54861.79,89945206.18,1634.64,direct,""
1696723200,1642.17,1617.5,1634.64,74219.89,121021981.15,1633.61,direct,""
1696809600,1636.39,1547.88,1633.61,213202.04,339017511.32,1580.25,direct,""
1696896000,1594.87,1551.22,1580.25,161967.57,254975021.38,1567.68,direct,""
1696982400,1578.37,1545.6,1567.68,188645.12,294808400.58,1566.52,direct,""
1697068800,1567.96,1521.78,1566.52,167816.78,259081681.89,1539.43,direct,""
1697155200,1573.36,1537.64,1539.43,144951.05,224374179.99,1552.12,direct,""
1697241600,1561.42,1545.01,1552.12,49919.63,77502622.78,1555.02,direct,""
1697328000,1566.8,1548.99,1555.02,62753.06,97772202.07,1557.99,direct,""
1697414400,1640.11,1555.34,1557.99,280738.92,446574747.49,1600.09,direct,""
1697500800,1601.37,1553.3,1600.09,151475.09,238856568.1,1565.4,direct,""
1697587200,1585.93,1556.22,1565.4,143924.79,226187063.01,1563.66,direct,""
1697673600,1575.26,1542.75,1563.66,153441.72,239202217.14,1567.55,direct,""
1697760000,1631.26,1562.17,1567.55,229023.77,367271257.58,1604.86,direct,""
1697846400,1644.6,1593.24,1604.86,137236.81,222184082.89,1629.44,direct,""
1697932800,1668.32,1622.28,1629.44,157183.18,257522472.2,1664.18,direct,""
