time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1690848000,24.05,22.81,23.72,1443334.09,33853632.94,24.05,direct,""
1690934400,24.27,22.87,24.05,1324116.92,31130414.83,23.14,direct,""
1691020800,23.38,22.49,23.14,995059.72,22727563.66,22.62,direct,""
1691107200,23.55,22.5,22.62,1252802.79,28854342,22.77,direct,""
1691193600,22.91,22.22,22.77,561125.87,12695627.31,22.63,direct,""
1691280000,23.44,22.57,22.63,797415.07,18382691.2,23.18,direct,""
1691366400,23.61,22.33,23.18,817463.93,18743749.83,23.11,direct,""
1691452800,24.77,23.01,23.11,1786984.87,42680496.83,24.21,direct,""
1691539200,25,24.1,24.21,1347180.87,33110965.79,24.37,direct,""
1691625600,24.88,24.11,24.37,788164.54,19294073.76,24.59,direct,""
1691712000,24.89,24.32,24.59,820520.52,20166257.71,24.61,direct,""
1691798400,25.18,24.38,24.61,643368.17,15910138.7,24.91,direct,""
1691884800,24.94,24.19,24.91,512075.85,12589055.27,24.21,direct,""
1691971200,25.28,24.05,24.21,1242430.01,30722289.89,25.17,direct,""
1692057600,25.34,23.72,25.17,1419406.92,34606007.26,23.88,direct,""
1692144000,24,22.38,23.88,1634691.24,37954695.37,22.79,direct,""
1692230400,23.4,20.27,22.79,2361854.32,52640360.75,21.69,direct,""
1692316800,22.19,20.92,21.69,1416246.63,30663247.45,21.33,direct,""
1692403200,22.16,21.29,21.33,630110.33,13716213.39,21.89,direct,""
1692489600,22.03,21.58,21.89,397985.71,8673017.32,21.77,direct,""
1692576000,21.77,20.35,21.77,1222088.13,25814784.74,21.2,direct,""
1692662400,21.27,19.37,21.2,1454890.19,29694314.02,20.56,direct,""
1692748800,21.81,20.38,20.56,1538625.65,32454156.7,21.73,direct,""
1692835200,22.02,20.68,21.73,1116271.21,23861293.23,21.05,direct,""
1692921600,21.05,20.08,21.05,938883.12,19229716.09,20.42,direct,""
